จำนวนการเกิด จากการทะเบียน จำแนกตามเพศ ภาค และจังหวัด พ.ศ. 2555 - 2565,,,,,,,,,,,,,
หน่วย : คน,,,,,,,,,,,,,
ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,"818,901","782,129","776,370","736,352","704,058","702,755","666,109","618,193","587,368","544,570","502,107"
,,ชาย,"421,952","403,022","399,852","378,037","362,395","362,510","343,099","317,708","302,836","280,551","259,558"
,,หญิง,"396,949","379,107","376,518","358,315","341,663","340,245","323,010","300,485","284,532","264,019","242,549"
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,"105,570","101,008","99,618","95,551","92,030","90,904","84,477","77,312","70,973","61,604","55,001"
,,ชาย,"54,362","52,341","51,190","49,172","47,336","46,838","43,356","39,976","36,759","31,973","28,670"
,,หญิง,"51,208","48,667","48,428","46,379","44,694","44,066","41,121","37,336","34,214","29,631","26,331"
ภาคกลาง,ภาคกลาง,รวม,"216,224","208,769","211,696","201,675","193,706","193,726","182,292","166,533","159,053","147,725","136,789"
,,ชาย,"111,728","108,063","109,199","103,437","100,230","100,170","94,089","85,637","82,102","76,001","70,611"
,,หญิง,"104,496","100,706","102,497","98,238","93,476","93,556","88,203","80,896","76,951","71,724","66,178"
,สมุทรปราการ,รวม,"17,250","16,597","16,777","15,838","15,196","15,026","13,934","12,545","12,126","11,564","10,979"
,,ชาย,"8,945","8,669","8,669","8,240","7,900","7,771","7,211","6,398","6,348","6,040","5,705"
,,หญิง,"8,305","7,928","8,108","7,598","7,296","7,255","6,723","6,147","5,778","5,524","5,274"
,นนทบุรี,รวม,"11,724","10,724","10,451","10,156","9,991","9,849","9,230","8,260","8,091","7,625","6,961"
,,ชาย,"5,988","5,505","5,381","5,263","5,209","5,114","4,768","4,232","4,172","3,928","3,569"
,,หญิง,"5,736","5,219","5,070","4,893","4,782","4,735","4,462","4,028","3,919","3,697","3,392"
,ปทุมธานี,รวม,"12,048","11,929","12,130","11,823","11,481","11,690","11,183","10,245","10,131","9,598","9,228"
,,ชาย,"6,212","6,202","6,391","5,975","5,940","6,084","5,694","5,253","5,203","4,973","4,731"
,,หญิง,"5,836","5,727","5,739","5,848","5,541","5,606","5,489","4,992","4,928","4,625","4,497"
,พระนครศรีอยุธยา,รวม,"9,059","8,712","8,752","8,210","7,738","7,781","7,400","7,096","6,686","5,921","5,542"
,,ชาย,"4,720","4,494","4,518","4,164","4,003","4,005","3,794","3,666","3,481","3,076","2,899"
,,หญิง,"4,339","4,218","4,234","4,046","3,735","3,776","3,606","3,430","3,205","2,845","2,643"
,อ่างทอง,รวม,"2,879","2,607","2,518","2,430","2,230","2,069","1,934","1,842","1,687","1,573","1,459"
,,ชาย,"1,454","1,322","1,316","1,212","1,119","1,035",995,929,858,804,751
,,หญิง,"1,425","1,285","1,202","1,218","1,111","1,034",939,913,829,769,708
,ลพบุรี,รวม,"7,806","7,358","7,055","6,554","6,530","6,353","6,007","5,486","5,299","4,737","4,404"
,,ชาย,"3,970","3,819","3,657","3,298","3,410","3,232","3,035","2,813","2,698","2,439","2,303"
,,หญิง,"3,836","3,539","3,398","3,256","3,120","3,121","2,972","2,673","2,601","2,298","2,101"
,สิงห์บุรี,รวม,"2,179","2,109","2,065","1,905","1,875","1,793","1,707","1,624","1,620","1,446","1,270"
,,ชาย,"1,122","1,111","1,091",969,976,949,885,852,802,736,668
,,หญิง,"1,057",998,974,936,899,844,822,772,818,710,602
,ชัยนาท,รวม,"2,979","2,746","2,730","2,473","2,281","2,232","1,931","1,703","1,593","1,394","1,319"
,,ชาย,"1,489","1,409","1,403","1,235","1,148","1,165",988,869,804,729,663
,,หญิง,"1,490","1,337","1,327","1,238","1,133","1,067",943,834,789,665,656
,สระบุรี,รวม,"8,586","8,028","8,010","7,752","7,413","7,297","6,914","6,353","6,089","5,769","5,211"
,,ชาย,"4,467","4,131","4,167","3,976","3,785","3,703","3,522","3,307","3,126","2,922","2,716"
,,หญิง,"4,119","3,897","3,843","3,776","3,628","3,594","3,392","3,046","2,963","2,847","2,495"
,ชลบุรี,รวม,"31,209","30,558","32,493","31,481","30,409","30,564","29,716","27,643","25,278","22,985","21,113"
